md5,title,base_level,diff_predict,player_count,clear_count,est_level,est_level_poly
bed8c515b04d9fa79d19d51a57890a28,さいこ゛のたたかい /たひ゛のおわり [7Key Another],11.0,0.9144958366011516,1236.0,1173.0,10.94620323205062,10.97153664101797
975edffb868ef4d1cde4b845022ea316,Thrill Trigger EX2 YPER,11.0,0.8918545415813015,1245.0,1175.0,10.96884452707047,10.973651826343207
508330b4bc4513536aea7945d90909e2,マジカル縦連打,11.0,0.9087853310770662,1205.0,1144.0,10.951913737574705,10.974607359325042
280b39ebcb38722f20ecc7a86d6d9ce2,Angelico [Max],11.0,0.869957264910864,132.0,132.0,10.990741803740907,10.976227989675976
dc5094237218e0bcf50bcf0dde1e0681,Plastic Mind [ANOTHER],11.0,0.8699093506799255,214.0,208.0,10.990789717971845,10.976493397196313
5db25f40c92eeedb385f99b29fef3811,CHASER [Another],11.0,0.8735739394428201,160.0,157.0,10.98712512920895,10.978791589771502
b341e4cc6f0f6a59100910ed11a92f8d,Lieselotte [ANOTHER],11.0,0.8897768567298046,164.0,159.0,10.970922211921966,10.984292487806705
55abf366170c14e229fb340f5e51c781,MoRoHeyYa -fresh salad mix-,11.0,0.8853837242681094,1392.0,1259.0,10.975315344383661,10.986074190126324
6d51a5d0ec1c53c9e11d4d57e54ad45a,Quad Queens [HYPER],11.0,0.8567729149540122,108.0,107.0,11.0,10.987922589352449
7c16e899b9ffb930dc37ca5de065f9c2,The Azure Box [SP ANOTHER],11.0,0.8758095054030578,160.0,153.0,10.984889563248712,10.991879281719177
6fa8841c21fb7f6d4a53b0d7bc05cb09,Reveil [7key/Extra],11.0,0.8606957452464933,189.0,179.0,11.0,10.993348931042194
76f9fe7cd064128304a3a7c1a5922819,TECHNO-LOGIC [rather],11.0,0.8886099603780054,1618.0,1478.0,10.972089108273765,10.99407698334057
bfbfa5b1cf8f0fae40bfae4332c1a77a,Egypt [ANOTHER],11.0,0.841151004891235,129.0,124.0,11.0,10.995017115537177
6175b7cd7704877ce022672b68fa1531,耀 (maniac7),11.0,0.8831346445214403,1582.0,1508.0,10.97756442413033,10.996987630202234
1fcd8bd7cf3a0da978a0219b6e63ed38,天叢雲剣 [7Another],11.0,0.8794022083428971,66.0,66.0,10.981296860308873,11.00170142640467
2080d96de1e3e0646c2a45556556cb16,Misdirection [HYPER],11.0,0.8600919946690865,255.0,236.0,11.0,11.00300202993387
0cc3e5910b567ef01e5dafb8dd0e34ea,Snowfairy [Fairy],11.0,0.8623574478853308,300.0,277.0,10.99834162076644,11.004619167999774
b47e20df1495d0b8602ce18f25dfa4af,Messier 333 (Re-NORETHER),11.0,0.837923781184035,86.0,83.0,11.0,11.004655218418842
dd4c19f7012b7aaa533bcb7ae28dbe24,Memoria [SP ANOTHER],11.0,0.8367798413774523,305.0,281.0,11.0,11.005966362000589
b587cd2ca2207cb4809a0829dfa819dd,End Time [Swell],11.0,0.8841569615086907,1452.0,1274.0,10.97654210714308,11.008565087702046
e352b44cd1a2755fff0dc7a1751080d7,Sweet Suite Room [7keys Another],11.0,0.8238794176361859,435.0,402.0,11.000457608439076,11.01025506973238
7b2be8012ff66b9d789298dfe11af5f4,lataia [Maniac7],11.0,0.8745001403136433,98.0,92.0,10.986198928338128,11.010922074782254
ee1210866e2161c0642d239f2ffd6ee3,take me to the moon [Blood Moon],11.0,0.8397952939072053,70.0,67.0,11.0,11.01222637672781
131b39f2dcaf325d39be66639abb18c9,New Windy Paradise -Re:-,11.0,0.8406901122399444,129.0,119.0,11.0,11.012445966211402
ad807d0e1fa81f4c5ca758c43e8d099a,Future MUSiC,11.0,0.8457352068737912,108.0,99.0,11.0,11.017654409469095
dd218cf64bcb102204715054fdc5179b,葡萄茶の寫眞機 [SP MIDDLE ANOTHER],11.0,0.8367832579100208,172.0,155.0,11.0,11.019144135607887
7a4620456359f026d83b699c69b84fa3,LOVE☆BEAM (orange summer mix) [HOGTHER],11.0,0.8238460290465716,658.0,611.0,11.000490997028692,11.020357823020184
b1c9cafabb8bb6183044e7f6423308ba,colorbar -4:00-,11.0,0.853553949755664,97.0,88.0,11.0,11.022686377963124
2f8538bac7ad3d5f84d85e8a7685fd92,ORANGE STREAM (Delight Gear mix),11.0,0.8447293341266482,34.0,33.0,11.0,11.023225879773815
aed0500caf4b89a69d2d5b87f251a5c2,The Island of Albatross(Flight to Twilight Remix) -ANOTHER-,11.0,0.8394787690632788,37.0,35.0,11.0,11.02593634787061
d1032639ff5defc9a3971324f73f95e5,Lapislazuli,11.0,0.864289763385912,35.0,33.0,10.996409305265859,11.02713306570874
1ea633b80caadf792c5ccd64275acc93,holy night celebration -sincere gift-,11.0,0.8082398233630915,92.0,82.0,11.01609720271217,11.02887851440647
ce4714b8e17d22523d943ed4a23a37e1,carnation [感謝の心],11.0,0.8100802270876492,29.0,27.0,11.014256798987613,11.030806275402604
354210d1ed91dab7689319ec28caa438,Qualia [EXTRA],11.0,0.8064407492496721,285.0,250.0,11.01789627682559,11.031606178007761
1b128b2f9fdfd558f83890bbc786308c,conjunctiva [isocosa's 7k Insane],11.0,0.8440393031416495,347.0,305.0,11.0,11.031939413570397
293a2f0e84bfeacef6ae3b4aac133c43,Melody[ANOTHER],11.0,0.8742367880618115,1692.0,1582.0,10.98646228058996,11.032006333736895
a85ed0f981ebf551d61c953379f27b35,J2U (crazy remix 7虎のANOTHER),11.0,0.8527908196677457,143.0,125.0,11.0,11.033307711921891
89da7362e8856c1baafe78dfeaa571fc,Kalte,11.0,0.8243379431262428,134.0,117.0,11.0,11.033941717118992
