md5,title,base_level,diff_predict,player_count,clear_count,est_level,est_level_poly
0ae6aad252b54324e739a245c9efaacc,DESPERATE -fatal-,15.0,0.8231982489793004,942.0,682.0,14.997629741094542,15.000039817726737
2490ada05c5054e74c62461a948417f1,Απομνημονευμαι [HARD],15.0,0.8618610359784475,19.0,18.0,14.958966954095395,15.000251238734805
0241e9d1a9133d060f4a1832fe19642f,Wicked plot [N],15.0,0.8056792860871886,953.0,657.0,15.0,15.000285768605751
df43c2e410faacba3e58276de9e200ed,エストポリス伝記II ～バトル#2～ (SP BLACK ANOTHER),15.0,0.7727314075454931,993.0,657.0,15.0,15.000306604200405
36fd786d7331e34ae9896e5a954cef2b,Angelic layer -ANOTHER-,15.0,0.8270759252819214,598.0,448.0,14.993752064791922,15.000505694239628
90a79d4f80445e6465cc3b6b4af3a86a,beyond the limit -7keyex-,15.0,0.843278312546944,934.0,715.0,14.977549677526898,15.000652383632055
065b4491c016292247d76a9847b72b3e,cadence [29Another],15.0,0.8393358608667172,927.0,706.0,14.981492129207126,15.000796025681995
6adf517d2e190d09fcfbc010536087f8,サンバランド [POROTHER],15.0,0.8432134798628893,924.0,702.0,14.977614510210953,15.000867941863223
8a8a6c2f3511eb0876a6c9a2027d7bbe,Dstorv [false_fix],15.0,0.8104949298263895,929.0,662.0,15.0,15.000870891055234
33773d2e776a153623431cda6968b337,PASERI [7keys EX],15.0,0.8671517725204629,32.0,27.0,14.95367621755338,15.000935018457135
2371263af3b0d644fba62526c9f49481,TURNDOWN [F],15.0,0.8375298608442903,918.0,706.0,14.983298129229553,15.001083757826214
ec83546f7399d6230807a7bc66d0ac66,G e n g a o z o _ A F O,15.0,0.8444246333298808,886.0,689.0,14.976403356743962,15.00139715261985
73e45d6f82b6d69bad566cdddca277cf,GIN TONIC FLAVOR [aspER7],15.0,0.8371718543287606,900.0,689.0,14.983656135745083,15.001447565033747
b252c955763ccc430d7b085977e72cdd,SEPIA -EX色-,15.0,0.8197732494613688,762.0,582.0,15.0,15.001640913749075
3b7efcbaac9bd5d46c590baeff9b665d,燃ゆる白狐、匍う大蛇 [ANOTHER],15.0,0.8363267551030089,941.0,754.0,14.984501234970834,15.001691930936458
a7acabe67ba063511ecc35e71c0ffda7,GYNOID [SP LEGGENDARIA],15.0,0.8087506942927393,38.0,31.0,15.0,15.001884223704547
516b1bf998ce51fac3414987af262bc3,FirmamenT,15.0,0.846257082834318,754.0,573.0,14.974570907239524,15.002096475913861
99455f5f6342f9097f8c157f2bfcc046,STARDUST CITY -- Another,15.0,0.8307711121929329,82.0,62.0,14.99005687788091,15.002169978037575
107a84c4c683d3e76816cc77267adda2,AutumnBreeze (kei-another),15.0,0.8244811663162432,883.0,636.0,14.9963468237576,15.002952033003474
ebfa5a401f3371bc81ba023923c341d6,Jack Knife (Assault),15.0,0.7779853081693571,1207.0,777.0,15.0,15.003891367052567
dd09b41665fc3944098a62a1d7dbfd95,Lieselotte [INSANE],15.0,0.7923947128837524,894.0,592.0,15.0,15.005063481593375
276170e35b66b083f61efbda3be4380a,Dance Doll Dream [puppet],15.0,0.8171209657552201,828.0,597.0,15.0,15.00518795344993
79c79e34e9a95e37521011058b7ec167,★LittlE HearTs★ (虎の穴),15.0,0.8278137482204377,791.0,571.0,14.993014241853405,15.006368099918532
18f23cd1ad1b0505aec5f9ae10c07600,Implexrough [IMPLEX],15.0,0.8078355124322956,129.0,94.0,15.0,15.00648068870117
03723666258481a3ee47cee9daae7b21,地外桃源 [ZOI],15.0,0.7876470034517938,54.0,41.0,15.0,15.006932353071525
7922a11129861d4eb6aa9b95565e8145,linear umbra [SP-RX INSANE],15.0,0.7880304744862631,882.0,569.0,15.0,15.007128272250217
bbddc2d9fec5b477bb1d61f30b43dff5,theme of Maia -maniac-,15.0,0.7765563885047018,671.0,489.0,15.0,15.007286984916902
238b12a58f69e15dd377eda3e91b4eea,gravitronic -II- -SP ANOTHER-,15.0,0.8936190991902709,10.0,10.0,14.927208890883572,15.007601383774233
523835bc67ef5bc9bb6f19a61fbea7ab,Breeze [BITTER7],15.0,0.7947615954488395,86.0,63.0,15.0,15.008752781294413
8143f74424be61d396121ed69951a746,FINALE and FLOWERS [ANOTHER7],15.0,0.817515224655275,34.0,26.0,15.0,15.01091603571289
60e4696644eacb7bd7bb0d47917301a9,ピアノ狂詩曲第壱番”天嵐戒”[7H],15.0,0.734861151959389,49.0,36.0,15.026399862714543,15.012834077249405
16a5e6b5b3de5efd9930fb1051b4968c,葡萄茶の寫眞機 [SP ANOTHER],15.0,0.8387092203132323,9.0,8.0,14.98211876976061,15.013336240974594
434ca445969f7845dc0158e3021fcf65,G e n g a o z o A⇒Side [F],15.0,0.816455583533579,9.0,8.0,15.0,15.013336240974594
6d77d4fe619693704b7b9c0282ef4efc,Chunjie [SP INSANE],15.0,0.8191991151592342,15.0,12.0,15.0,15.01410100894319
5f8458521d749bd7bf3c3df6a64e0ae7,Apollo [Monsther],15.0,0.8503150824541293,38.0,28.0,14.970512907619714,15.01415485075306
6822719f05ecb918d7ffd6382428651f,FREEDOM DiVE [k 7],15.0,0.7524525134095829,941.0,550.0,15.00880850126435,15.014196513778446
7c774b8922f87de19ab72e96d996726c,Love & Justice [AFOTHER],15.0,0.7356196741351418,134.0,95.0,15.02564134053879,15.014387947249752
4c5b85bf86f8158b7b8c246bfb6d4d24,Ancient Memory (---),15.0,0.8093597488028075,8.0,7.0,15.0,15.014676839180893
db73e0de15bb1c96d4dd4791ff2950d0,FAKE LIFE [Kill],15.0,0.7887513730711428,67.0,48.0,15.0,15.014983494211448
