md5,title,base_level,prediction,ability,player_count,clear_count,est_level
dd218cf64bcb102204715054fdc5179b,葡萄茶の寫眞機 [SP MIDDLE ANOTHER],11.0,0.8367832579100208,2.19270396232605,172.0,155.0,11.0
2f8538bac7ad3d5f84d85e8a7685fd92,ORANGE STREAM (Delight Gear mix),11.0,0.8447293341266482,9.595516204833984,34.0,33.0,11.0
b47e20df1495d0b8602ce18f25dfa4af,Messier 333 (Re-NORETHER),11.0,0.837923781184035,8.260393142700195,86.0,83.0,11.0
e352b44cd1a2755fff0dc7a1751080d7,Sweet Suite Room [7keys Another],11.0,0.8238794176361859,10.119344711303711,435.0,402.0,11.000457608439076
7a4620456359f026d83b699c69b84fa3,LOVE☆BEAM (orange summer mix) [HOGTHER],11.0,0.8238460290465716,11.024105072021484,658.0,611.0,11.000490997028692
fcf21b9ada342d84f8c3ca752188035e,千年女王 [Normal],11.0,0.8195478892405567,4.2742767333984375,355.0,298.0,11.004789136834706
ce4714b8e17d22523d943ed4a23a37e1,carnation [感謝の心],11.0,0.8100802270876492,5.4575347900390625,29.0,27.0,11.014256798987613
1ea633b80caadf792c5ccd64275acc93,holy night celebration -sincere gift-,11.0,0.8082398233630915,8.872125625610352,92.0,82.0,11.01609720271217
354210d1ed91dab7689319ec28caa438,Qualia [EXTRA],11.0,0.8064407492496721,12.616018295288086,285.0,250.0,11.01789627682559
5e56d9adfb0ee01bf85d236aefae925f,7 colors* -Pastel Heart-,11.0,0.8039793810412931,10.735054969787598,48.0,38.0,11.02035764503397
8e35a59567d15a76776b1511026365f0,DANCE & (wish me a) MERRY CHRISTMAS!,11.0,0.803295378014475,5.801727294921875,23.0,20.0,11.021041648060788
e3b6b2b57f96451687f58d4c0b2b16c8,Dance revolution [SP ANOTHER],11.0,0.788686535686699,8.08654499053955,142.0,113.0,11.035650490388564
ab5825a19aa5a1aa82223e188c9b21ca,Xhroria [CoreBreak],11.0,0.7819565364987875,10.219560623168945,5.0,5.0,11.042380489576475
9fff97e60f43fb6473f2b8cc96686d90,world devoid of you (fairydust radio edit) [29Mix],11.0,0.7724734894546884,3.344045639038086,701.0,558.0,11.051863536620575
3e40c08ae4d3497ffeefe7eda185b100,DAM // 7keys HYPER,11.0,0.762620921583477,5.678319454193115,28.0,24.0,11.061716104491786
8bdc1d1fe654d75136173211f124ad70,コスモワンダラー [SAETHER],11.0,0.7521592082059204,7.969533443450928,1.0,1.0,11.072177817869342
e1dfd68aab90337b91e2d107b3b29424,物怪舞踏[Another],11.0,0.7351805864252795,12.87069034576416,536.0,406.0,11.089156439649983
35ee463f7df8fc03655bfd1abc5e35f7,langue de chat (tea break mix) [7KEYS ANOTHER],11.0,0.733551936300112,5.066457271575928,8.0,8.0,11.090785089775151
e72d23209a19904a4f716450a0cfd75c,Une fleur de la pluie [F],11.0,0.7089901033022683,8.12692928314209,247.0,168.0,11.115346922772995
e3c881c1c5d8e7448ea838e16b9b1ebb,Last! Least! Regrets!! (虎のANOTHER),11.0,0.6906888671167396,7.573278903961182,1380.0,915.0,11.133648158958524
a4b12b552f83419d55082198340cc78c,reveL [Pure],11.0,0.6742238506078453,2.143490791320801,8.0,7.0,11.150113175467418
60a0c44491f25e62b522d9d0f5be38e8,Plasma Sphere (SP ANOTHER),11.0,0.5918483046326646,9.606196403503418,1.0,1.0,11.232488721442598
4e767e62e087eabb9688b80b15975927,おにコア,11.0,0.5830795996410706,10.385639190673828,3.0,3.0,11.241257426434192
78ab95dc63f87825e9d5b33542396020,"It's ""alice"" dream [Another]",11.5,0.9586464576924554,11.209558486938477,6.0,6.0,11.437706155916633
23fc1ecec794d703828afd51c851b9f9,Thermal Expansion [Another],11.5,0.951656618191334,9.62894344329834,35.0,35.0,11.444695995417753
587890cb9d3b8e735e79c3b124636fb9,plentifulness [SP ANOTHER],11.5,0.9313596430307057,10.267400741577148,88.0,87.0,11.464992970578383
ce7b401b88f1d0fd7322ef5cf31303e5,"Shamshir -rough Pt.2- [7key,Hard]",11.5,0.9281050081671512,8.11040210723877,117.0,116.0,11.468247605441936
407a01242c22457bb9a4aeaa4c11fddf,Experience of Ecstasy [SP ANOTHER],11.5,0.9277942717036185,4.019199371337891,140.0,136.0,11.468558341905469
e26844aabaa0348d3bece720d7bc4825,Prismrose [SP ANOTHER],11.5,0.9252903967739257,8.770236015319824,74.0,72.0,11.471062216835161
7b1c1f836719de43e0bd288ec6f9c516,introspect [SP ANOTHER],11.5,0.9247418433902598,9.959444999694824,140.0,136.0,11.471610770218827
e8618b082d72096e9793c4fe8d8dfed0,ETERNAL DRAIN (ANOTHER),11.5,0.9244624152985504,11.299514770507812,14.0,14.0,11.471890198310538
6e37f0f6a1a33836bc63185715d6c49b,神仙・竜巻返し ～ Black Whirlwind,11.5,0.9242187449896423,6.898090362548828,186.0,181.0,11.472133868619446
24057b864af23db5064e64d4ccccb270,not MAKURA [7K ANOTHER],11.5,0.9218748231384241,7.2259697914123535,87.0,86.0,11.474477790470663
259c6ff7871efb0492d1dac5d16fda17,PEACE BREAKER [HYPER],11.5,0.9217057383158317,8.689996719360352,121.0,120.0,11.474646875293256
ee438b1f0150e913ae4f5b2a685575f8,ヒュブリスの頂に聳えるのは [X],11.5,0.91894560707713,3.5804455280303955,60.0,60.0,11.477407006531958
1cd29c630f0857f7a9cc5edb00e29a0b,REZIDUAL MiND [ANOTHER],11.5,0.9171567015383498,6.752360820770264,12.0,12.0,11.479195912070738
48273794e9019eb0338ff0b4e545f2e3,Estella [SP ANOTHER],11.5,0.9150991206915308,9.747091293334961,45.0,45.0,11.481253492917556
325213609ad69f4bb9bcb61735318423,Damnation 565 [ANOTHER],11.5,0.9150849164058117,8.937581062316895,98.0,95.0,11.481267697203275
b7c4b2b39c5cc94883148c9020ef8a84,EUROBEATアイドル橘花音のテーマ,11.5,0.913894491041175,12.509787559509277,82.0,82.0,11.482458122567913
d5f9220b422908a6e1ffbf8e0e656af8,Cutee☆NeverLand [ANOTHER],11.5,0.9136829298507518,9.165156364440918,123.0,121.0,11.482669683758335
72f6d513a7f399c1d63181e079a54ba6,Highlander [NORETHER],11.5,0.913236679756634,10.012690544128418,143.0,142.0,11.483115933852453
a212d584ecaa6f4b9cafe6a1666dfbd4,stairway to the universe [A],11.5,0.9128933961002124,11.418302536010742,121.0,117.0,11.483459217508875
de3c9a8f256d27e573e7e73e3dfea2d3,the lost dedicated (another),11.5,0.9116895749914488,12.251952171325684,122.0,115.0,11.484663038617638
260a5502420c21dc0ccf795e0ae154f3,START-RESTART [ANOTHER],11.5,0.9116534684301082,10.22070026397705,108.0,102.0,11.484699145178979
d46e8490a06f725bf67e33af6835c347,Sunny [Charmante],11.5,0.9113741613595423,10.418612480163574,117.0,117.0,11.484978452249546
55c7fbfff822d38cdd2fbf6d81520f37,False Friend [ANOTHER],11.5,0.9109542738923424,8.392109870910645,134.0,130.0,11.485398339716745
d10c53876eee3e4c57f267a1d77a31c5,Black Wings [Another],11.5,0.9107794600655745,4.84768009185791,119.0,116.0,11.485573153543513
5d628afc615a1f66b28267890265246b,New York Back Raise [SP ANOTHER],11.5,0.9106049646587194,5.682292938232422,144.0,135.0,11.485747648950369
442d9026f218255ba6ec41661364ce8f,Fatal Function (ANOTHER),11.5,0.9103469509628617,10.529139518737793,183.0,180.0,11.486005662646226
9387c56fd76839ef630900c61780a433,Palette Lab [ANOTHER],11.5,0.9099931716524305,4.037744045257568,138.0,136.0,11.486359441956656
4347dd893c8a19995e7ad08f1f641112,Aeventyr [ANOTHER],11.5,0.9093532185946184,14.323078155517578,176.0,166.0,11.48699939501447
097298ec8c64bd0708ceaf60c413fc64,Girl's Heart ～人形少女 [SP ANOTHER],11.5,0.9091558400012795,7.3102216720581055,126.0,120.0,11.487196773607808
62d20a2ca21dd96d4f5a6d04a05e57d0,アリスの空虚で愉快な人形劇,11.5,0.9089662563902275,10.475393295288086,150.0,147.0,11.48738635721886
08d5195f34a425ea7d545ba6cf39c074,reflection [7KEYS ANOTHER],11.5,0.9087625975073508,7.649875640869141,123.0,123.0,11.487590016101738
2326ca3864a2f511d7582194e332641f,Prayer [SP AZOTHER],11.5,0.9084152197789369,3.659756898880005,194.0,187.0,11.487937393830151
b1d9fa916ab18c1b17951ec7ed45e4ec,Rottfill [7K ANOTHER],11.5,0.9083424218062438,4.214996814727783,160.0,159.0,11.488010191802843
dfb188bcf9506f9f00626c5263a84366,endemize [ANOTHER],11.5,0.9082293141682715,7.398610591888428,15.0,15.0,11.488123299440817
4868f0d5eb33a8305b4cc46a377e2abb,sincere smile,11.5,0.907960019863012,8.042242050170898,55.0,54.0,11.488392593746076
4c7c8b03fb3f7e3e399571a9b30a58f5,チョウの標本 [Practice],11.5,0.9079223950486164,5.6077656745910645,127.0,125.0,11.48843021856047
0a3c046f60b71eb86731cb75173a0d5b,lightsphere -ほしをみるひと-,11.5,0.9073214098929561,9.71941089630127,134.0,132.0,11.48903120371613
4023045d9134dfc47e953bc430e5ef07,Life is PIANO [Another],11.5,0.9072627398711391,11.606114387512207,118.0,116.0,11.489089873737948
728a8049af8fb8d88220a0db7eb4a6f6,ibuprofen [SP INSANE],11.5,0.9070453957622311,4.094316482543945,159.0,153.0,11.489307217846857
5d5bf6d12a22394bdd8a815ee935fb8a,Smudge,11.5,0.9065244050238309,8.35731029510498,150.0,146.0,11.489828208585257
